"zip","population"
"50001","695"
"50002","1274"
"50003","9428"
"50005","679"
"50006","1502"
"50007","497"
"50008","809"
"50009","21230"
"50010","32552"
"50012","2249"
"50013","4260"
"50014","31587"
"50020","1375"
"50021","28807"
"50022","8052"
"50023","43603"
"50025","3027"
"50026","526"
"50027","266"
"50028","1608"
"50029","614"
"50031","46"
"50032","395"
"50033","52"
"50034","390"
"50035","8968"
"50036","16203"
"50038","221"
"50039","352"
"50040","181"
"50041","71"
"50042","298"
"50044","854"
"50046","1586"
"50047","6021"
"50048","821"
"50049","6433"
"50050","640"
"50051","278"
"50052","145"
"50054","3471"
"50055","1026"
"50056","1388"
"50057","208"
"50058","1897"
"50060","2581"
"50061","1973"
"50062","778"
"50063","2900"
"50064","105"
"50065","553"
"50066","238"
"50067","318"
"50068","352"
"50069","999"
"50070","1536"
"50071","919"
"50072","2688"
"50073","1405"
"50074","342"
"50075","833"
"50076","1436"
"50078","97"
"50101","68"
"50102","89"
"50103","412"
"50104","133"
"50105","1326"
"50106","1044"
"50107","933"
"50108","451"
"50109","3348"
"50110","58"
"50111","16025"
"50112","11849"
"50115","2571"
"50116","263"
"50117","190"
"50118","931"
"50119","464"
"50120","338"
"50122","1409"
"50123","775"
"50124","4697"
"50125","20906"
"50126","6576"
"50127","66"
"50128","316"
"50129","5040"
"50130","1611"
"50131","24434"
"50132","349"
"50133","478"
"50134","687"
"50135","1544"
"50136","418"
"50137","70"
"50138","11631"
"50139","1172"
"50140","2503"
"50141","518"
"50142","905"
"50143","568"
"50144","2766"
"50145","76"
"50146","505"
"50147","373"
"50148","420"
"50149","1084"
"50150","816"
"50151","679"
"50152","142"
"50153","734"
"50154","527"
"50155","213"
"50156","4662"
"50157","699"
"50158","31466"
"50160","421"
"50161","2017"
"50162","1236"
"50163","758"
"50164","609"
"50165","36"
"50166","1511"
"50167","745"
"50168","909"
"50169","3372"
"50170","2854"
"50171","2703"
"50173","678"
"50174","1440"
"50201","8427"
"50206","497"
"50207","2495"
"50208","20918"
"50210","1752"
"50211","15158"
"50212","3152"
"50213","7298"
"50214","818"
"50216","2722"
"50217","547"
"50218","176"
"50219","14390"
"50220","9045"
"50222","490"
"50223","331"
"50225","3026"
"50226","6879"
"50227","75"
"50228","2509"
"50229","1029"
"50230","1099"
"50231","157"
"50232","527"
"50233","1291"
"50234","556"
"50235","408"
"50236","1634"
"50237","3153"
"50238","1071"
"50239","191"
"50240","2399"
"50241","108"
"50242","411"
"50243","297"
"50244","1825"
"50246","638"
"50247","2365"
"50248","4439"
"50249","1235"
"50250","2415"
"50251","1339"
"50252","324"
"50254","254"
"50255","45"
"50256","488"
"50257","1039"
"50258","768"
"50261","3019"
"50262","360"
"50263","24817"
"50264","510"
"50265","32187"
"50266","36486"
"50268","917"
"50269","100"
"50271","549"
"50272","118"
"50273","8570"
"50274","367"
"50275","476"
"50276","2454"
"50277","505"
"50278","780"
"50309","9532"
"50310","30754"
"50311","14782"
"50312","15485"
"50313","17723"
"50314","11764"
"50315","36693"
"50316","16785"
"50317","37221"
"50319","0"
"50320","23369"
"50321","7783"
"50322","31652"
"50323","16616"
"50324","5252"
"50325","18619"
"50327","11807"
"50401","28981"
"50420","392"
"50421","3043"
"50423","2806"
"50424","1424"
"50426","87"
"50427","36"
"50428","9290"
"50430","425"
"50431","208"
"50432","259"
"50433","238"
"50434","435"
"50435","732"
"50436","5816"
"50438","4033"
"50439","263"
"50440","373"
"50441","5529"
"50444","353"
"50446","526"
"50447","1047"
"50448","713"
"50449","666"
"50450","2827"
"50451","492"
"50452","741"
"50453","543"
"50454","134"
"50455","366"
"50456","1695"
"50457","361"
"50458","2034"
"50459","3087"
"50460","348"
"50461","5605"
"50464","651"
"50465","201"
"50466","1845"
"50467","107"
"50468","1497"
"50469","1629"
"50470","205"
"50471","621"
"50472","2402"
"50473","273"
"50475","1621"
"50476","745"
"50477","257"
"50478","761"
"50479","667"
"50480","879"
"50482","768"
"50483","719"
"50484","384"
"50501","28492"
"50510","1069"
"50511","7061"
"50514","1337"
"50515","253"
"50516","690"
"50517","956"
"50518","342"
"50519","614"
"50520","156"
"50521","103"
"50522","715"
"50523","622"
"50524","524"
"50525","3494"
"50527","180"
"50528","348"
"50529","759"
"50530","1164"
"50531","224"
"50532","952"
"50533","4041"
"50535","866"
"50536","4351"
"50538","565"
"50539","501"
"50540","1053"
"50541","839"
"50542","899"
"50543","1359"
"50544","478"
"50545","221"
"50546","284"
"50548","5921"
"50551","115"
"50552","53"
"50554","1649"
"50556","248"
"50557","675"
"50558","624"
"50559","283"
"50560","531"
"50561","523"
"50562","474"
"50563","2471"
"50565","410"
"50566","431"
"50567","213"
"50568","1331"
"50569","727"
"50570","236"
"50571","310"
"50573","42"
"50574","2264"
"50575","810"
"50576","402"
"50577","394"
"50578","523"
"50579","2895"
"50581","833"
"50582","190"
"50583","2642"
"50585","1118"
"50586","273"
"50588","13331"
"50590","860"
"50591","311"
"50592","69"
"50593","67"
"50594","259"
"50595","8887"
"50597","1275"
"50598","940"
"50599","346"
"50601","2451"
"50602","1538"
"50603","553"
"50604","1701"
"50605","133"
"50606","777"
"50607","477"
"50608","38"
"50609","384"
"50611","340"
"50612","340"
"50613","43667"
"50616","10009"
"50619","2152"
"50620","54"
"50621","1450"
"50622","3452"
"50623","146"
"50624","1835"
"50625","964"
"50626","1652"
"50627","3367"
"50628","1296"
"50629","2288"
"50630","1680"
"50631","178"
"50632","1032"
"50633","326"
"50634","795"
"50635","1375"
"50636","1783"
"50638","3411"
"50641","1906"
"50642","544"
"50643","2819"
"50644","8795"
"50645","1124"
"50647","1989"
"50648","3992"
"50649","45"
"50650","681"
"50651","3579"
"50652","121"
"50653","605"
"50654","468"
"50655","743"
"50657","94"
"50658","2394"
"50659","5402"
"50660","1294"
"50662","6693"
"50664","97"
"50665","2893"
"50666","893"
"50667","759"
"50668","1234"
"50669","2335"
"50670","1959"
"50671","206"
"50672","532"
"50673","185"
"50674","3480"
"50675","2372"
"50676","1815"
"50677","12789"
"50680","1128"
"50681","432"
"50682","1558"
"50701","29806"
"50702","20447"
"50703","18913"
"50707","7708"
"50801","9245"
"50830","1667"
"50831","38"
"50833","2338"
"50835","82"
"50836","322"
"50837","304"
"50839","36"
"50840","437"
"50841","2652"
"50842","105"
"50843","537"
"50845","787"
"50846","1084"
"50847","83"
"50848","342"
"50849","2784"
"50851","1958"
"50853","688"
"50854","2223"
"50857","180"
"50858","738"
"50859","491"
"50860","267"
"50861","238"
"50862","132"
"50863","207"
"50864","1872"
"51001","2615"
"51002","2909"
"51003","1719"
"51004","956"
"51005","1474"
"51006","1038"
"51007","678"
"51008","129"
"51009","146"
"51010","421"
"51011","75"
"51012","6592"
"51014","546"
"51015","97"
"51016","1361"
"51018","385"
"51019","715"
"51020","637"
"51022","751"
"51023","3392"
"51024","1981"
"51025","2009"
"51026","741"
"51027","1302"
"51028","2058"
"51029","252"
"51030","1780"
"51031","12960"
"51033","428"
"51034","1698"
"51035","1535"
"51036","676"
"51037","349"
"51038","1562"
"51039","2576"
"51040","3537"
"51041","7195"
"51044","209"
"51045","79"
"51046","1497"
"51047","588"
"51048","571"
"51049","425"
"51050","2625"
"51051","59"
"51052","956"
"51053","1069"
"51054","5737"
"51055","1381"
"51056","404"
"51058","972"
"51060","546"
"51061","419"
"51062","469"
"51063","1032"
"51101","1146"
"51103","16827"
"51104","23080"
"51105","10565"
"51106","28655"
"51108","5967"
"51109","3109"
"51111","97"
"51201","6408"
"51230","451"
"51231","232"
"51232","781"
"51234","1167"
"51235","1122"
"51237","1654"
"51238","1251"
"51239","3343"
"51240","1816"
"51241","1916"
"51242","344"
"51243","742"
"51244","74"
"51245","1306"
"51246","3834"
"51247","5432"
"51248","1828"
"51249","3558"
"51250","9427"
"51301","12606"
"51331","1102"
"51333","440"
"51334","7105"
"51338","950"
"51340","90"
"51341","34"
"51342","1227"
"51343","263"
"51345","414"
"51346","2343"
"51347","1489"
"51350","384"
"51351","4844"
"51354","974"
"51355","847"
"51357","611"
"51358","1274"
"51360","8553"
"51363","132"
"51364","616"
"51365","327"
"51366","377"
"51401","12248"
"51430","788"
"51431","404"
"51432","35"
"51433","643"
"51436","929"
"51439","881"
"51440","357"
"51441","344"
"51442","9763"
"51443","1751"
"51444","284"
"51445","2717"
"51446","520"
"51447","198"
"51448","545"
"51449","2098"
"51450","1475"
"51451","112"
"51452","166"
"51453","631"
"51454","1291"
"51455","2185"
"51458","1451"
"51459","75"
"51460","110"
"51461","1095"
"51462","1033"
"51463","515"
"51465","696"
"51466","1071"
"51467","567"
"51501","34906"
"51503","37330"
"51510","3791"
"51520","185"
"51521","2202"
"51523","358"
"51525","1151"
"51526","1629"
"51527","475"
"51528","829"
"51529","1665"
"51530","728"
"51531","806"
"51532","604"
"51533","816"
"51534","9342"
"51535","1764"
"51536","458"
"51537","6509"
"51540","469"
"51541","360"
"51542","1018"
"51543","381"
"51544","648"
"51545","345"
"51546","2815"
"51548","486"
"51549","498"
"51550","190"
"51551","1783"
"51552","265"
"51553","992"
"51554","172"
"51555","5099"
"51556","428"
"51557","779"
"51558","518"
"51559","1911"
"51560","1998"
"51561","907"
"51562","463"
"51563","681"
"51564","501"
"51565","464"
"51566","6772"
"51570","1146"
"51571","635"
"51572","360"
"51573","1075"
"51575","1738"
"51576","2058"
"51577","1101"
"51578","116"
"51579","2437"
"51601","5681"
"51630","180"
"51631","297"
"51632","7024"
"51636","356"
"51637","173"
"51638","1189"
"51639","873"
"51640","1290"
"51645","219"
"51646","730"
"51647","173"
"51648","166"
"51649","355"
"51650","322"
"51651","147"
"51652","1629"
"51653","1357"
"51654","421"
"51656","60"
"52001","43572"
"52002","17177"
"52003","14060"
"52030","380"
"52031","5143"
"52032","1424"
"52033","3478"
"52035","915"
"52036","137"
"52037","1216"
"52038","478"
"52039","1195"
"52040","5911"
"52041","1490"
"52042","1828"
"52043","2047"
"52044","158"
"52045","2739"
"52046","2391"
"52047","570"
"52048","327"
"52049","1339"
"52050","490"
"52052","2955"
"52053","1120"
"52054","920"
"52056","245"
"52057","8064"
"52060","8494"
"52064","752"
"52065","802"
"52066","86"
"52068","4835"
"52069","1512"
"52070","1006"
"52071","120"
"52072","384"
"52073","1590"
"52074","328"
"52075","143"
"52076","2123"
"52077","362"
"52078","847"
"52079","753"
"52101","13186"
"52132","1832"
"52133","473"
"52134","252"
"52135","793"
"52136","6009"
"52140","553"
"52141","1386"
"52142","1797"
"52144","1186"
"52146","867"
"52147","947"
"52151","2057"
"52154","981"
"52155","1244"
"52156","739"
"52157","1645"
"52158","273"
"52159","2232"
"52160","808"
"52161","1409"
"52162","3481"
"52163","273"
"52164","193"
"52165","876"
"52166","127"
"52168","379"
"52169","417"
"52170","499"
"52171","926"
"52172","6097"
"52175","3412"
"52201","1177"
"52202","1112"
"52203","1911"
"52205","8782"
"52206","2635"
"52207","343"
"52208","2951"
"52209","1106"
"52210","746"
"52211","2592"
"52212","274"
"52213","4408"
"52214","3001"
"52215","692"
"52216","1461"
"52217","505"
"52218","1726"
"52219","160"
"52220","252"
"52221","224"
"52222","635"
"52223","1389"
"52224","1890"
"52225","427"
"52227","3089"
"52228","3402"
"52229","730"
"52231","316"
"52232","181"
"52233","7091"
"52235","858"
"52236","570"
"52237","1593"
"52240","34224"
"52241","22319"
"52242","5657"
"52245","21874"
"52246","22829"
"52247","5976"
"52248","1674"
"52249","912"
"52251","501"
"52252","50"
"52253","3356"
"52254","878"
"52255","1189"
"52257","259"
"52301","3745"
"52302","43130"
"52305","663"
"52306","1653"
"52307","145"
"52308","135"
"52309","419"
"52310","6417"
"52312","96"
"52313","391"
"52314","5937"
"52315","1171"
"52316","1622"
"52317","22096"
"52318","908"
"52320","1087"
"52321","451"
"52322","2260"
"52323","738"
"52324","2476"
"52325","815"
"52326","565"
"52327","3333"
"52328","2889"
"52329","722"
"52330","848"
"52332","1995"
"52333","7312"
"52334","355"
"52335","605"
"52336","2310"
"52337","828"
"52338","3457"
"52339","4717"
"52340","4810"
"52341","1045"
"52342","3192"
"52344","22"
"52345","1572"
"52346","1094"
"52347","1392"
"52348","48"
"52349","7405"
"52351","1380"
"52352","1815"
"52353","9416"
"52354","355"
"52355","267"
"52356","2833"
"52358","3839"
"52359","270"
"52361","5018"
"52362","920"
"52401","2320"
"52402","42072"
"52403","23012"
"52404","43385"
"52405","26382"
"52411","7954"
"52501","30313"
"52530","1028"
"52531","5817"
"52533","1157"
"52534","366"
"52535","798"
"52536","990"
"52537","7248"
"52540","1408"
"52542","462"
"52543","287"
"52544","7481"
"52548","76"
"52549","646"
"52550","486"
"52551","638"
"52552","894"
"52553","1639"
"52554","1222"
"52555","311"
"52556","11736"
"52557","537"
"52560","408"
"52561","901"
"52562","41"
"52563","1423"
"52565","1940"
"52566","164"
"52567","562"
"52568","97"
